         1          1          3
         1          1          5
         1          1          6
         1          1          7
         1          1          8
         1          1          9
         2          2          0
         2          2          5
         2          2          8
         3          3          3
         3          3          5
         3          3          6
         3          3          7
         3          3          8
         3          3          9
         4          4          0
         5          5          0
         5          5          3
         5          5          7
         5          5          9
         6          6          0
         6          6          5
         6          6          6
         6          6          8
         6          6          9
         7          7          0
         7          7          3
         7          7          5
         7          7          6
         7          7          7
         7          7          8
         7          7          9
         8          8          0
         8          8          5
         8          8          6
         8          8          7
         8          8          8
         9          9          0
         9          9          3
         9          9          5
         9          9          6
         9          9          7
         9          9          8
        10         10          0
        10         10          3
        10         10          6
        10         10          7
        10         10          8
        10         10          9
        11         11          0
        11         11          3
        11         11          5
        11         11          6
        11         11          7
        11         11          9
        12         12          0
        12         12          3
        12         12          4
        12         12          5
        12         12          6
        12         12          7
        12         12          8
        12         12          9
        13         13          0
        13         13          3
        13         13          6
        13         13          9
        14         14          5
        14         14          6
        14         14          7
        14         14          8
        15         15          5
        15         15          6
        15         15          7
        15         15          8
        16         16          0
        16         16          3
        16         16          4
        16         16          5
        16         16          6
        16         16          7
        16         16          8
        17         17          3
        17         17          6
        17         17          7
        17         17          8
        17         17          9
        18         18          5
        18         18          6
        18         18          7
        18         18          8
        19         19          3
        19         19          6
        19         19          9
        20         20          3
        20         20          6
        21         21          0
        21         21          5
        21         21          8
        22         22          0
        22         22          3
        22         22          5
        22         22          6
        22         22          8
        22         22          9
        23         23          0
        23         23          5
        23         23          8
        24         24          0
        24         24          3
        24         24          7
        24         24          9
        25         25          0
        25         25          5
        25         25          6
        25         25          7
        25         25          8
        26         26          0
        26         26          3
        26         26          6
        26         26          9
        27         27          3
        27         27          6
        27         27          8
        27         27          9
        28         28          0
        28         28          3
        28         28          5
        28         28          6
        28         28          8
        28         28          9
        29         29          3
        29         29          5
        29         29          6
        29         29          8
        29         29          9
        30         30          0
        30         30          3
        30         30          5
        30         30          6
        30         30          7
        30         30          8
        30         30          9
        31         31          0
        31         31          3
        31         31          4
        31         31          5
        31         31          6
        31         31          7
        31         31          8
        31         31          9
        32         32          3
        32         32          5
        32         32          6
        32         32          8
        32         32          9
        33         33          3
        33         33          5
        33         33          6
        33         33          7
        33         33          8
        33         33          9
        34         34          0
        34         34          3
        34         34          6
        34         34          9
        35         35          0
        35         35          5
        35         35          6
        35         35          8
        35         35          9
        36         36          0
        36         36          3
        36         36          7
        36         36          9
        37         37          0
        37         37          3
        37         37          5
        37         37          6
        37         37          7
        37         37          8
        37         37          9
